id,event_name_vi,event_name_en,ticker,event_code,event_title_vi,event_title_en,display_date1,display_date2,public_date,start_date,end_date,action_type_vi,action_type_en,category,issue_date,record_date,exright_date,listing_date,exercise_ratio
6708f3d70ec61045ab7f9553,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Dương Thị Hoàn - Đăng kí Mua 672,000 VIC","Duong Thi Hoan - Subscribe to Buy 672,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f9552,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Mai Hương Nội - Đăng kí Mua 150,000 VIC","Mai Huong Noi - Subscribe to Buy 150,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f9551,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Nguyễn Diệu Linh - Đăng kí Mua 672,000 VIC","Nguyen Dieu Linh - Subscribe to Buy 672,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f9550,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Nguyễn Thị Thu Hiền - Đăng kí Mua 150,000 VIC","Nguyen Thi Thu Hien - Subscribe to Buy 150,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f954f,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Phạm Văn Khương - Đăng kí Mua 150,000 VIC","Pham Van Khuong - Subscribe to Buy 150,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f954e,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Phạm Thu Hương - Đăng kí Mua 672,000 VIC","Pham Thu Huong - Subscribe to Buy 672,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f954d,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Phạm Thúy Hằng - Đăng kí Mua 672,000 VIC","Pham Thuy Hang - Subscribe to Buy 672,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f954c,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Nguyễn Thế Anh - Đăng kí Mua 150,000 VIC","Nguyen The Anh - Subscribe to Buy 150,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f954b,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Nguyễn Việt Quang - Đăng kí Mua 672,000 VIC","Nguyen Viet Quang - Subscribe to Buy 672,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f954a,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,VIC,DDRP,"Dương Thị Hằng - Đăng kí Mua 150,000 VIC","Duong Thi Hang - Subscribe to Buy 150,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
