symbol,name,position,total_shares,rate
VIC,Phạm Nhật Vượng,Chủ tịch Hội đồng Quản trị,703848781,0.09101
VIC,Phạm Thu Hương,Phó Chủ tịch Hội đồng Quản trị,341221050,0.0442797
VIC,Phạm Thúy Hằng,Phó Chủ tịch Hội đồng Quản trị,228326892,0.0296296
VIC,Nguyễn Diệu Linh,Phó Chủ tịch Hội đồng Quản trị/Phụ trách Công bố thông tin,1865418,0.0002421
VIC,Dương Thị Hoàn,Phó Tổng Giám đốc,1344644,0.0001745
VIC,Nguyễn Việt Quang,Phó Chủ tịch Hội đồng Quản trị/Tổng Giám đốc,1344392,0.0001745
VIC,Nguyễn Thế Anh,Trưởng Ban kiểm soát,327708,4.25e-05
VIC,Nguyễn Thị Thu Hiền,Kế toán trưởng,300392,3.9e-05
VIC,Mai Hương Nội,Phó Tổng Giám đốc,300000,3.89e-05
