id,event_name_vi,event_name_en,ticker,event_code,event_title_vi,event_title_en,display_date1,public_date,value_per_share,exercise_ratio,category,display_date2,start_date,end_date,action_type_vi,action_type_en,issue_date,record_date,exright_date,payout_date,listing_date
6802ed4ed2606e49d1ead8b0,Phát hành cổ phiếu,Share Issue,FPT,ISS,Phát hành cổ phiếu - Phát hành cho CBCNV tỉ lệ 0.2%,Share Issue - ESOP ratio 0.2%,2025-05-07T00:00:00,2025-05-12T00:00:00,,0.00225,DIVIDEND,2025-05-12T00:00:00,,,,,,2025-05-07T00:00:00,2025-05-07T00:00:00,,2035-05-07T00:00:00
6802ed4ed2606e49d1ead8af,Phát hành cổ phiếu,Share Issue,FPT,ISS,Phát hành cổ phiếu - Phát hành cho CBCNV tỉ lệ 0.5%,Share Issue - ESOP ratio 0.5%,2025-05-07T00:00:00,2025-05-12T00:00:00,,0.00472,DIVIDEND,2025-05-12T00:00:00,,,,,,2025-05-07T00:00:00,2025-05-07T00:00:00,,2028-05-08T00:00:00
67ae8c98bf8a923310754af0,Đại hội Đồng Cổ đông,Annual General Meeting,FPT,AGME,FPT - Tổ chức ĐHĐCĐ thường niên 2025,FPT - Holds 2025 AGM,2025-04-15T00:00:00,2025-02-14T00:00:00,,,SHAREHOLDER_MEETING,2025-03-06T00:00:00,,,,,2025-04-15T00:00:00,2025-03-07T00:00:00,2025-03-06T00:00:00,,
679823a773615257e2e19c0e,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Bùi Quang Ngọc - Đăng kí Bán 2,000,000 FPT","BUI QUANG NGOC - Subscribe to Sell 2,000,000 FPT shares",2025-02-11T00:00:00,2025-02-14T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2025-02-14T00:00:00,2025-02-11T00:00:00,2025-02-11T00:00:00,Bán,Sell,,,,,
677c706c7eee280b39d16b3a,Niêm yết thêm,Additional Listing,FPT,AIS,FPT - Niêm yết bổ sung 10.621.117 cổ phiếu,"FPT- Lists additional 10,621,117 shares",2025-01-02T00:00:00,2025-01-03T00:00:00,,,OTHER,2025-01-03T00:00:00,,,,,2025-01-02T00:00:00,,,,
67411b73628a762af10d7c07,Trả cổ tức bằng tiền mặt,Cash Dividend,FPT,DIV,"Trả cổ tức bằng tiền mặt - Đợt 1 2024 - 1,000 VND","Cash Dividend - Interim 1 2024 - 1,000 VND",2024-12-02T00:00:00,2024-11-26T00:00:00,1000.0,0.1,DIVIDEND,2024-11-26T00:00:00,,,,,,2024-12-03T00:00:00,2024-12-02T00:00:00,2024-12-13T00:00:00,
670db1d8f4bb746cb8c74d02,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Nguyễn Việt Thắng - Đăng kí Bán 60,000 FPT","Nguyen Viet Thang - Subscribe to Sell 60,000 FPT shares",2024-10-17T00:00:00,2024-11-19T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-11-19T00:00:00,2024-10-17T00:00:00,2024-11-13T00:00:00,Bán,Sell,,,,,
6708f3f80ec61045ab800c4c,Phát hành cổ phiếu,Share Issue,FPT,ISS,Phát hành cổ phiếu - Phát hành cho CBCNV tỉ lệ 0.2%,Share Issue - ESOP ratio 0.2%,2024-10-09T00:00:00,2024-10-14T00:00:00,,0.00227,DIVIDEND,2024-10-14T00:00:00,,,,,,2024-10-09T00:00:00,2024-10-09T00:00:00,,2034-10-09T00:00:00
6708f3f80ec61045ab800a6e,Phát hành cổ phiếu,Share Issue,FPT,ISS,Phát hành cổ phiếu - Phát hành cho CBCNV tỉ lệ 0.5%,Share Issue - ESOP ratio 0.5%,2024-10-09T00:00:00,2024-10-14T00:00:00,,0.00499,DIVIDEND,2024-10-14T00:00:00,,,,,,2024-10-09T00:00:00,2024-10-09T00:00:00,,2027-10-11T00:00:00
6708f3da0ec61045ab7f9f98,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Đỗ Thị Ngọc Mai - Đăng kí Mua 75,569 FPT","Do Thi Ngoc Mai - Subscribe to Buy 75,569 FPT shares",2024-10-09T00:00:00,2024-10-14T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-10-14T00:00:00,2024-10-09T00:00:00,2024-10-09T00:00:00,Mua,Buy,,,,,
6708f3da0ec61045ab7f9f97,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Mai Thị Lan Anh - Đăng kí Mua 3,025 FPT","Mai Thi Lan Anh - Subscribe to Buy 3,025 FPT shares",2024-10-09T00:00:00,2024-10-14T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-10-14T00:00:00,2024-10-09T00:00:00,2024-10-09T00:00:00,Mua,Buy,,,,,
6708f3da0ec61045ab7f9f96,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Nguyễn Khải Hoàn - Đăng kí Mua 182,203 FPT","Nguyen Khai Hoan - Subscribe to Buy 182,203 FPT shares",2024-10-09T00:00:00,2024-10-14T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-10-14T00:00:00,2024-10-09T00:00:00,2024-10-09T00:00:00,Mua,Buy,,,,,
6708f3da0ec61045ab7f9f95,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Nguyễn Việt Thắng - Đăng kí Mua 15,130 FPT","Nguyen Viet Thang - Subscribe to Buy 15,130 FPT shares",2024-10-09T00:00:00,2024-10-14T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-10-14T00:00:00,2024-10-09T00:00:00,2024-10-09T00:00:00,Mua,Buy,,,,,
6708f3da0ec61045ab7f9f94,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Hoàng Hữu Chiến - Đăng kí Mua 86,422 FPT","Hoang Huu Chien - Subscribe to Buy 86,422 FPT shares",2024-10-09T00:00:00,2024-10-14T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-10-14T00:00:00,2024-10-09T00:00:00,2024-10-09T00:00:00,Mua,Buy,,,,,
6708f3da0ec61045ab7f9f93,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Phạm Minh Tuấn - Đăng kí Mua 1,161,702 FPT","Pham Minh Tuan - Subscribe to Buy 1,161,702 FPT shares",2024-10-09T00:00:00,2024-10-14T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-10-14T00:00:00,2024-10-09T00:00:00,2024-10-09T00:00:00,Mua,Buy,,,,,
6708f3da0ec61045ab7f9f92,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Nguyễn Thế Phương - Đăng kí Mua 216,313 FPT","Nguyen The Phuong - Subscribe to Buy 216,313 FPT shares",2024-10-09T00:00:00,2024-10-14T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-10-14T00:00:00,2024-10-09T00:00:00,2024-10-09T00:00:00,Mua,Buy,,,,,
6708f3da0ec61045ab7f9f91,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Nguyễn Văn Khoa - Đăng kí Mua 360,414 FPT","Nguyen Van Khoa - Subscribe to Buy 360,414 FPT shares",2024-10-09T00:00:00,2024-10-14T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-10-14T00:00:00,2024-10-09T00:00:00,2024-10-09T00:00:00,Mua,Buy,,,,,
6708f37e0ec61045ab7e85a7,Niêm yết thêm,Additional Listing,FPT,AIS,"FPT - Niêm yết bổ sung 190,479,191 cổ phiếu","FPT- Lists additional 190,479,191 shares",2024-07-19T00:00:00,2024-07-25T00:00:00,,,OTHER,2024-07-25T00:00:00,,,,,2024-07-19T00:00:00,,,,
6708f3f80ec61045ab800aaf,Phát hành cổ phiếu,Share Issue,FPT,ISS,Phát hành cổ phiếu - Cổ phiếu thưởng tỉ lệ 15.0%,Share Issue - Bonus Issue ratio 15.0%,2024-06-12T00:00:00,2024-06-07T00:00:00,,0.15,DIVIDEND,2024-06-07T00:00:00,,,,,,2024-06-13T00:00:00,2024-06-12T00:00:00,,2024-08-01T00:00:00
6708f3eb0ec61045ab7fde7c,Trả cổ tức bằng tiền mặt,Cash Dividend,FPT,DIV,"Trả cổ tức bằng tiền mặt - Đợt 2 2023 - 1,000 VND","Cash Dividend - Interim 2 2023 - 1,000 VND",2024-06-12T00:00:00,2024-06-07T00:00:00,1000.0,0.1,DIVIDEND,2024-06-07T00:00:00,,,,,,2024-06-13T00:00:00,2024-06-12T00:00:00,2024-06-20T00:00:00,
6708f3d70ec61045ab7f979a,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Nguyễn Khải Hoàn - Đăng kí Bán 100,000 FPT","Nguyen Khai Hoan - Subscribe to Sell 100,000 FPT shares",2024-03-11T00:00:00,2024-03-18T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-03-18T00:00:00,2024-03-11T00:00:00,2024-03-11T00:00:00,Bán,Sell,,,,,
6708f3d70ec61045ab7f96e6,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Nguyễn Việt Thắng - Đăng kí Bán 35,000 FPT","Nguyen Viet Thang - Subscribe to Sell 35,000 FPT shares",2024-02-02T00:00:00,2024-02-07T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-02-07T00:00:00,2024-02-02T00:00:00,2024-02-02T00:00:00,Bán,Sell,,,,,
6708f3780ec61045ab7e7344,Đại hội Đồng Cổ đông,Annual General Meeting,FPT,AGME,FPT - Tổ chức ĐHĐCĐ thường niên 2024,FPT - Holds 2024 AGM,2024-04-10T00:00:00,2024-02-07T00:00:00,,,SHAREHOLDER_MEETING,2024-03-04T00:00:00,,,,,2024-04-10T00:00:00,2024-03-05T00:00:00,2024-03-04T00:00:00,,
6708f3d70ec61045ab7f95c9,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Nguyễn Việt Thắng - Đăng kí Bán 35,000 FPT","Nguyen Viet Thang - Subscribe to Sell 35,000 FPT shares",2024-01-09T00:00:00,2024-01-25T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2024-01-25T00:00:00,2024-01-09T00:00:00,2024-01-19T00:00:00,Bán,Sell,,,,,
6708f3d60ec61045ab7f9350,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,FPT,DDRP,"Nguyễn Thị Dư - Đăng kí Mua 550,000 FPT","Nguyen Thi Du - Subscribe to Buy 550,000 FPT shares",2023-10-10T00:00:00,2023-10-12T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2023-10-12T00:00:00,2023-10-10T00:00:00,2023-10-10T00:00:00,Mua,Buy,,,,,
6708f3d60ec61045ab7f92a7,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,FPT,DDIND,"Đỗ Cao Bảo - Đăng kí Bán 2,250,000 FPT","Do Cao Bao - Subscribe to Sell 2,250,000 FPT shares",2023-09-21T00:00:00,2023-10-12T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2023-10-12T00:00:00,2023-09-21T00:00:00,2023-10-10T00:00:00,Bán,Sell,,,,,
6708f3d60ec61045ab7f92aa,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,FPT,DDRP,"Đỗ Bảo Dương - Đăng kí Mua 500,000 FPT","Do Bao Duong - Subscribe to Buy 500,000 FPT shares",2023-09-21T00:00:00,2023-10-03T00:00:00,,,MAJOR_SHAREHOLDER_TRADING,2023-10-03T00:00:00,2023-09-21T00:00:00,2023-09-29T00:00:00,Mua,Buy,,,,,
