date,close,predicted,predicted_name,actual,actual_name,prob_bear,prob_neutral,prob_bull,correct
2022-01-24,64.52,1,Neutral,0.0,Bear,0.4171,0.4357,0.1473,False
2022-01-25,63.08,2,Bull,2.0,Bull,0.29,0.3111,0.399,True
2022-01-26,63.48,1,Neutral,2.0,Bull,0.3173,0.4849,0.1978,False
2022-01-27,66.19,1,Neutral,1.0,Neutral,0.3623,0.4875,0.1502,True
2022-01-28,66.19,1,Neutral,1.0,Neutral,0.3484,0.5436,0.108,True
2022-02-07,66.51,1,Neutral,0.0,Bear,0.3337,0.5518,0.1145,False
2022-02-08,65.31,2,Bull,2.0,Bull,0.2305,0.2643,0.5053,True
2022-02-09,65.95,1,Neutral,1.0,Neutral,0.2542,0.6382,0.1076,True
2022-02-10,65.87,1,Neutral,0.0,Bear,0.3774,0.4963,0.1263,False
2022-02-11,65.31,1,Neutral,0.0,Bear,0.3493,0.5278,0.123,False
2022-02-14,64.6,1,Neutral,1.0,Neutral,0.3056,0.5339,0.1605,True
2022-02-15,64.68,1,Neutral,0.0,Bear,0.395,0.4298,0.1752,False
2022-02-16,64.04,1,Neutral,1.0,Neutral,0.3279,0.5458,0.1263,True
2022-02-17,64.36,1,Neutral,1.0,Neutral,0.3739,0.503,0.1232,True
2022-02-18,64.2,1,Neutral,1.0,Neutral,0.377,0.4836,0.1394,True
2022-02-21,64.52,0,Bear,0.0,Bear,0.4453,0.3771,0.1776,True
2022-02-22,63.72,1,Neutral,1.0,Neutral,0.3328,0.509,0.1582,True
2022-02-23,63.72,1,Neutral,0.0,Bear,0.3023,0.5225,0.1751,False
2022-02-24,62.61,1,Neutral,1.0,Neutral,0.3228,0.3631,0.3141,True
2022-02-25,62.84,1,Neutral,0.0,Bear,0.386,0.409,0.205,False
2022-02-28,62.45,0,Bear,2.0,Bull,0.4796,0.26,0.2604,False
2022-03-01,63.08,1,Neutral,0.0,Bear,0.3618,0.4277,0.2105,False
2022-03-02,62.53,1,Neutral,1.0,Neutral,0.3865,0.4463,0.1672,True
