symbol,name,position,total_shares,rate
VNM,Mai Kiều Liên,Thành viên Hội đồng Quản trị/Tổng Giám đốc/Phụ trách Công bố thông tin,6400444,0.0031
VNM,Nguyễn Thị Thanh Hòa,Giám đốc điều hành chuỗi cung ứng,1108184,0.0005
VNM,Trần Minh Văn,Giám đốc điều hành sản xuất,887236,0.0004
VNM,Lê Thành Liêm,Thành viên Hội đồng Quản trị/Giám đốc khối,493381,0.00024
VNM,Bùi Thị Hương,Giám đốc Điều hành Nhân sự - Hành chính/Giám đốc khối,134176,6.42e-05
