id,event_name_vi,event_name_en,ticker,event_code,event_title_vi,event_title_en,display_date1,display_date2,public_date,record_date,exright_date,exercise_ratio,category,payout_date,value_per_share,start_date,end_date,action_type_vi,action_type_en,issue_date,listing_date
69eab80f9a7ad236002b1866,Phát hành cổ phiếu,Share Issue,HPG,ISS,Phát hành cổ phiếu - Trả Cổ tức bằng Cổ phiếu tỉ lệ 10.0%,Share Issue - Stock dividend ratio 10.0%,2026-05-25T00:00:00,2026-05-15T00:00:00,2026-05-15T00:00:00,2026-05-26T00:00:00,2026-05-25T00:00:00,0.1,DIVIDEND,,,,,,,,
69f2a0f5db487120c68d393b,Trả cổ tức bằng tiền mặt,Cash Dividend,HPG,DIV,Trả cổ tức bằng tiền mặt - Cả năm 2025 - 500 VND,Cash Dividend - Year 2025 - 500 VND,2026-05-11T00:00:00,2026-05-05T00:00:00,2026-05-05T00:00:00,2026-05-12T00:00:00,2026-05-11T00:00:00,0.05,DIVIDEND,2026-06-03T00:00:00,500.0,,,,,,
69b0b643f2d24c49e82103e9,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Trần Vũ Minh - Đăng kí Mua 50,000,000 HPG","Tran Vu Minh - Subscribe to Buy 50,000,000 HPG shares",2026-03-12T00:00:00,2026-04-13T00:00:00,2026-04-13T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2026-03-12T00:00:00,2026-04-09T00:00:00,Mua,Buy,,
69a235ddf24a113a2ff43e9b,Đại hội Đồng Cổ đông,Annual General Meeting,HPG,AGME,HPG - Tổ chức ĐHĐCĐ thường niên 2026,HPG - Holds 2026 AGM,2026-04-21T00:00:00,2026-03-17T00:00:00,2026-03-03T00:00:00,2026-03-18T00:00:00,2026-03-17T00:00:00,,SHAREHOLDER_MEETING,,,,,,,2026-04-21T00:00:00,
6892a0f0a6a4d755dbb6c5ac,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Chu Quang Việt - Đăng kí Bán 50,000 HPG","Chu Quang Viet - Subscribe to Sell 50,000 HPG shares",2025-08-08T00:00:00,2025-08-28T00:00:00,2025-08-28T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2025-08-08T00:00:00,2025-08-08T00:00:00,Bán,Sell,,
689d2cfa64af214c26ee0035,Sự kiện khác,Other events,HPG,OTHE,HPG - Thay đổi địa chỉ,HPG - Change Address,2025-08-13T00:00:00,,2025-08-13T00:00:00,,,,OTHER,,,,,,,2025-08-11T00:00:00,
6859f09ebffa71495b6fc5bc,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,HPG,DDIND,"Đặng Ngọc Khánh - Đăng kí Mua 400,000 HPG","Dang Ngoc Khanh - Subscribe to Buy 400,000 HPG shares",2025-06-26T00:00:00,2025-07-31T00:00:00,2025-07-31T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2025-06-26T00:00:00,2025-06-30T00:00:00,Mua,Buy,,
68802be0f00c716e3cc581f6,Niêm yết thêm,Additional Listing,HPG,AIS,HPG - Niêm yết bổ sung 1.279.215.655 cổ phiếu,"HPG- Lists additional 1,279,215,655 shares",2025-07-22T00:00:00,2025-07-22T00:00:00,2025-07-22T00:00:00,,,,OTHER,,,,,,,2025-07-22T00:00:00,
681956ee86e9541d8ab43edf,Phát hành cổ phiếu,Share Issue,HPG,ISS,Phát hành cổ phiếu - Trả Cổ tức bằng Cổ phiếu tỉ lệ 20.0%,Share Issue - Stock dividend ratio 20.0%,2025-06-26T00:00:00,2025-06-05T00:00:00,2025-06-05T00:00:00,2025-06-27T00:00:00,2025-06-26T00:00:00,0.2,DIVIDEND,,,,,,,,2025-07-31T00:00:00
681d4b6f86e9541d8abad64f,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,HPG,DDIND,"Nguyễn Ngọc Quang - Đăng kí Bán 8,500,000 HPG","NGUYEN NGOC QUANG - Subscribe to Sell 8,500,000 HPG shares",2025-05-14T00:00:00,2025-05-15T00:00:00,2025-05-15T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2025-05-14T00:00:00,2025-05-14T00:00:00,Bán,Sell,,
