Buy Date,Sell Date,Shares,Entry (VND),Exit (VND),Hold Days,Exit Reason,Invested (VND),P/L (VND),ROI (%)
2025-02-05,2025-02-24,1759200,56.76,58.84,13,MANUAL,"99,852,192","3,668,570",3.674
2025-02-26,2025-03-04,1770700,58.23,58.56,4,MANUAL,"103,107,861","592,870",0.575
2025-03-06,2025-03-17,1779300,58.05,58.1,7,MANUAL,"103,288,365","98,124",0.095
2025-03-18,2025-04-03,1785200,57.68,52.1,12,SL,"102,970,336","-9,921,192",-9.635
2025-04-04,2025-04-09,1716100,53.99,47.96,2,SL,"92,652,239","-10,325,166",-11.144
2025-04-11,2025-04-25,1544700,53.07,53.76,10,MANUAL,"81,977,229","1,078,001",1.315
2025-04-28,2025-05-05,1558700,53.07,52.47,2,MANUAL,"82,720,209","-922,330",-1.115
2025-05-26,2025-06-04,1530900,53.22,54.33,7,MANUAL,"81,474,498","1,710,964",2.1
2025-06-05,2025-06-27,1540000,53.8,55.19,16,MANUAL,"82,852,000","2,151,666",2.597
