date,open,high,low,close,price_change_percent,volume,volume_ma_20,rsi,stochastic_k,macd,macd_signal,macd_diff,ema_50,ema_200,sma_20,bollinger_upper,bollinger_lower,bollinger_width,atr,obv,vwap,vnindex_close,correlation_20,beta_20
2020-11-09,82.16,82.46,81.78,82.01,0.0,1066640,1684677.5,62.249999999999964,50.00000000000012,0.2679246430656974,0.2164829615012707,0.0514416815644266,81.07429112994693,80.7798145638164,81.3475,83.10485297356114,79.59014702643886,0.043206072062722,1.3785714285714243,10196730.0,81.33151841113033,951.99,0.5509411581562519,0.5848040973702563
2020-11-10,82.23,82.31,81.03,81.03,-1.1949762224119032,2297200,1756610.0,54.69988674971683,32.437275985663135,0.2048600458971634,0.2141583783804493,-0.0092983324832858,81.07255422289019,80.78230397114162,81.3625,83.10269811334346,79.62230188665653,0.0427764169818643,1.4221428571428538,7899530.0,81.33924665232973,951.9,0.5393631754778866,0.5973264188690446
2020-11-11,81.33,81.33,79.9,81.03,0.0,2429710,1813137.5,53.54239256678279,30.570902394106792,0.1531158738033298,0.2019498774650254,-0.0488340036616956,81.07088542983567,80.78476860824468,81.3665,83.1030698191671,79.6299301808329,0.0426851301006458,1.432857142857139,7899530.0,81.3033241222305,952.22,0.5432453679149606,0.6203109119214755
2020-11-12,80.65,81.03,80.42,80.65,-0.4689621127977217,1074590,1774139.0,32.615384615384826,23.57274401473302,0.0805172674756562,0.1776633554671516,-0.0971460879914953,81.05438011886172,80.78342762706812,81.34750000000001,83.10772576303215,79.58727423696787,0.0432767021243956,1.298571428571425,6824940.0,81.2873964175775,959.28,0.5153619606770884,0.5839431323052526
2020-11-13,80.65,80.95,80.65,80.95,0.3719776813391195,1089500,1746727.0,31.775700934579547,36.82983682983686,0.0466520657377316,0.1514610975212676,-0.1048090317835359,81.05028678086714,80.78508506361472,81.3475,83.10772576303214,79.58727423696786,0.0432767021243956,1.1849999999999965,7914440.0,81.27599416659886,966.29,0.5202084571618995,0.5843180859549226
2020-11-16,81.03,81.93,80.65,80.73,-0.271772699197037,2571160,1794398.0,34.228187919463224,44.012944983818905,0.0020379952508875,0.1215764770671916,-0.119538481816304,81.03772651495079,80.784536953529,81.325,83.1056267376818,79.5443732623182,0.0437903901059157,1.174285714285711,5343280.0,81.2659876518165,950.79,0.5031196137870845,0.5210568944070161
2020-11-17,80.88,81.18,80.65,81.1,0.4583178496221807,1648330,1769265.0,51.60599571734465,55.987055016181095,-0.0034236040792876,0.0965764608378957,-0.1000000649171834,81.0401686124037,80.78767588931478,81.37750000000001,83.05900152198001,79.69599847802002,0.0413259567320204,1.0449999999999966,6991610.0,81.25562333186781,968.9,0.5245487150457098,0.4788301298183434
2020-11-18,81.48,82.53,81.25,82.46,1.676942046855734,3396750,1898825.0,66.7256637168141,97.78481012658204,0.1008264090276185,0.0974264504758403,0.0033999585517782,81.09584827466239,80.80431593021713,81.4905,83.1423120831059,79.83868791689409,0.0405399913635554,1.0499999999999972,10388360.0,81.31229605359557,973.53,0.5238165634994169,0.5136938778419746
2020-11-19,82.46,82.68,82.16,82.68,0.2667960223138754,3140680,1934732.0,62.69841269841265,100.0,0.1989046083674708,0.1177220820541664,0.0811825263133043,81.15797187173446,80.82297945329955,81.6035,83.25617597996,79.95082402003999,0.04050502686674,0.942142857142855,13529040.0,81.38367730007631,983.26,0.5260063131283081,0.5191823458066618
2020-11-20,82.84,84.04,82.23,83.59,1.1006289308176154,2801420,1927463.5,72.03539823008856,89.13043478260863,0.3460723758460631,0.1633921408125457,0.1826802350335173,81.25334552382331,80.85051199605279,81.63750000000002,83.4257643746617,79.84923562533834,0.0438098759678255,1.0178571428571408,16330460.0,81.47998924883481,990.0,0.5246517432671304,0.4157120845934081
2020-11-23,83.66,83.89,82.76,83.36,-0.2751525302069679,2104330,1917004.0,68.79310344827582,83.57487922705297,0.4390833346871829,0.2185303795874732,0.2205529550997097,81.33595942484985,80.8754820259428,81.64099999999999,83.44310286522217,79.83889713477781,0.0441470061665629,1.0449999999999977,14226130.0,81.5479896322671,994.19,0.578238594388937,0.4748161473087428
2020-11-24,83.36,83.59,82.16,82.61,-0.8997120921305224,1937130,1927806.0,59.55766192733013,65.45893719806747,0.4471223100220953,0.2642487656743976,0.1828735443476977,81.38592180034593,80.89274091125681,81.64099999999999,83.44310286522217,79.83889713477781,0.0441470061665629,1.039285714285713,12289000.0,81.58838924508139,995.76,0.5507816627249359,0.4605450030587253
2020-11-25,82.84,83.66,82.23,83.29,0.823144897712158,2190900,1906892.0,60.0,81.88405797101449,0.5025702558255745,0.311913063704633,0.1906571921209414,81.46059153366569,80.91659423552291,81.75800000000001,83.67160337968367,79.84439662031635,0.0468114038915742,1.0657142857142847,14479900.0,81.64074254831436,999.94,0.2548414483187568,0.2507193845904628
2020-11-26,83.59,83.59,82.38,82.84,-0.5402809460919755,1490270,1895243.5,56.05839416058392,71.01449275362313,0.5043876463459327,0.3504079802328929,0.1539796661130397,81.51468598332586,80.93573260133861,81.8715,83.75749575821365,79.98550424178634,0.046072094885611,1.076428571428572,12989630.0,81.67136139695792,1005.97,0.2042450204267491,0.2061421522431692
2020-11-27,82.84,82.84,81.93,82.76,-0.0965717044905778,2823860,1902255.5,55.41125541125541,69.08212560386471,0.4936817540602334,0.379062734998361,0.1146190190618723,81.56352182711701,80.95388451575316,81.9395,83.85180337826563,80.02719662173436,0.0466759835797297,1.0928571428571436,10165770.0,81.70729838086164,1010.22,0.1893942993579484,0.1835252220536398
2020-11-30,82.76,82.91,81.4,81.55,-1.46205896568391,2687040,1993240.5,53.63128491620108,39.855072463767904,0.3831437272943816,0.3798789334575652,0.0032647938368164,81.56299155938694,80.95981601310885,81.962,83.84304786027135,80.08095213972865,0.0459004870615981,1.1092857142857144,7478730.0,81.71693750458368,1003.08,0.341330557456712,0.3507584744083995
2020-12-01,80.88,82.76,80.8,82.68,1.3856529736358203,2493230,2074390.5,59.95174909529554,62.4309392265194,0.3823160000300305,0.3803663467720583,0.0019496532579722,81.60679581196001,80.97693227168489,82.037,83.90634381957662,80.16765618042339,0.0455731881852484,1.1471428571428584,9971960.0,81.72967262436532,1008.87,0.3411431221761039,0.3777680656657598
2020-12-02,82.61,82.76,81.93,82.16,-0.6289308176100739,1332460,2073874.5,58.956109134044986,44.54277286135665,0.335829136788405,0.3714589047753276,-0.0356297679869226,81.62849009384394,80.98870408987709,82.07500000000002,83.92056937441792,80.22943062558211,0.0449727535648591,1.162857142857144,8639500.0,81.73986067701716,1014.32,0.3239080704590842,0.3647699055959996
2020-12-03,82.16,82.84,82.01,82.53,0.4503407984420615,1108730,2034747.5,59.29411764705877,55.45722713864293,0.325096362034543,0.3621863962271708,-0.0370900341926277,81.66384342349711,81.00404036758975,82.10100000000001,83.95733368143821,80.24466631856181,0.0452207325474281,1.200714285714287,9748230.0,81.75072083879839,1019.8,0.3781483057057955,0.4280033185823378
2020-12-04,82.53,82.68,82.01,82.16,-0.4483218223676255,1571130,2062753.0,58.26589595375714,44.54277286135665,0.2834670215631973,0.3464425212943761,-0.0629754997311787,81.68330054414429,81.01554245348439,82.10849999999999,83.96449767468087,80.25250232531911,0.0452084175129463,1.1571428571428584,8177100.0,81.76186466451514,1021.49,0.3862964772547732,0.4425665051385646
