Buy Date,Sell Date,Shares,Entry (VND),Exit (VND),Hold Days,Exit Reason,Invested (VND),P/L (VND),ROI (%)
2025-07-30,2025-08-05,5213700,54.8,58.7,4,MANUAL,"285,710,760","20,334,035",7.117
2025-08-22,2025-08-27,4688900,62.1,65.9,3,MANUAL,"291,180,690","17,817,346",6.119
2025-08-29,2025-09-11,4609400,64.2,67.9,7,MANUAL,"295,923,480","17,054,070",5.763
2025-09-22,2025-09-25,4032800,74.5,78.9,3,MANUAL,"300,443,600","17,744,199",5.906
2025-11-24,2025-11-27,2545100,119.9,123.9,3,MANUAL,"305,157,490","10,180,054",3.336
2025-12-16,2025-12-19,2151800,143.0,148.4,3,MANUAL,"307,707,400","11,619,031",3.776
