date,open,high,low,close,price_change_percent,volume,volume_ma_20,rsi,stochastic_k,macd,macd_signal,macd_diff,ema_50,ema_200,sma_20,bollinger_upper,bollinger_lower,bollinger_width,atr,obv,vwap,vnindex_close,correlation_20,beta_20
2020-11-09,12.75,13.04,12.71,13.04,3.6565977742448297,18314360,17546413.0,68.16326530612241,83.72093023255806,0.2505176276816989,0.2366804813177508,0.013837146363948,12.1329176860782,11.826042240368054,12.4215,13.253726563281644,11.589273436718356,0.1339977560329499,0.3599999999999997,96476360.0,12.454311367422292,951.99,0.692496936057438,1.3046918380461736
2020-11-10,13.27,13.33,12.96,12.96,-0.6134969325153228,20645160,18045381.5,69.00826446280996,72.99270072992705,0.2592612118618937,0.2411966274265794,0.0180645844353143,12.165352286624152,11.837325402155436,12.49,13.257031187179022,11.722968812820978,0.1228232485474814,0.3685714285714282,75831200.0,12.488144538487864,951.9,0.7171180398101525,1.3467223694815589
2020-11-11,12.98,13.08,12.89,12.96,0.0,14564290,18061579.5,66.06334841628963,65.0943396226416,0.2631570546029351,0.2455887128618506,0.0175683417410845,12.196514942050657,11.84849629367628,12.5515,13.25670694984186,11.846293050158142,0.1123701469691843,0.3614285714285711,75831200.0,12.506003578010464,952.22,0.7200890489959731,1.3948229579759344
2020-11-12,12.98,13.04,12.93,13.02,0.4629629629629539,9803730,17025508.0,56.64739884393067,67.3684210526315,0.2679967370399012,0.2500703176974608,0.0179264193424404,12.228808473734944,11.860153046973034,12.6015,13.289633249030336,11.913366750969663,0.1092144981201184,0.3307142857142854,85634930.0,12.517787816915384,959.28,0.7236090224141203,1.3347899731381658
2020-11-13,13.04,13.22,13.02,13.22,1.5360983102918668,12161630,16767636.0,62.43386243386246,88.421052631579,0.2846888331139929,0.2569940207807673,0.0276948123332256,12.267678729666908,11.873683862426038,12.6605,13.348272147092178,11.972727852907823,0.108648496835382,0.3064285714285712,97796560.0,12.536174999658824,966.29,0.7299580086419022,1.3439704017468863
2020-11-16,13.37,13.56,13.2,13.35,0.9833585476550556,25538500,17497604.0,59.88700564971751,82.2033898305084,0.3048927393473803,0.2665737644940899,0.0383189748532904,12.31012270105252,11.88837357523772,12.73,13.400427985849726,12.059572014150277,0.1053303984052985,0.2985714285714285,123335060.0,12.58393150328452,950.79,0.6549908855236642,1.1001694181515005
2020-11-17,13.45,13.8,13.41,13.8,3.370786516853941,16228900,17643089.0,83.88888888888893,100.0,0.3531448853781249,0.2838879886708969,0.069256896707228,12.368549261795556,11.907394733693067,12.8125,13.581282359182016,12.043717640817984,0.1200050511893877,0.2878571428571429,139563960.0,12.622071695778184,968.9,0.7071135621084186,1.1625767417591448
2020-11-18,13.91,14.32,13.8,14.32,3.768115942028971,22115200,18215369.5,86.9955156950673,100.0,0.4284063116372198,0.3127916532641615,0.1156146583730583,12.445076741725142,11.931400756243386,12.9265,13.869424342558542,11.983575657441456,0.1458901237857955,0.3014285714285715,161679160.0,12.69169918554145,973.53,0.6730760094739353,1.1731395009447243
2020-11-19,14.32,14.69,14.26,14.57,1.745810055865915,26533130,18888425.0,89.02439024390245,94.52054794520552,0.5024327132745476,0.3507198652662388,0.1517128480083088,12.52840706557906,11.957655475086735,13.0425,14.184757690531752,11.900242309468249,0.1751593161635808,0.302857142857143,188212290.0,12.785980480921957,983.26,0.6739217617062052,1.1822993805003212
2020-11-20,14.59,14.78,14.47,14.78,1.4413177762525595,18141040,18318728.0,89.81132075471699,100.0,0.5714570141211794,0.3948672950372269,0.1765897190839525,12.616704827713216,11.985738505185378,13.142,14.515027388847832,11.76897261115217,0.2089525778188754,0.3142857142857143,206353330.0,12.850827916841189,990.0,0.6614017191131383,1.0652796088043308
2020-11-23,14.78,15.67,14.69,15.52,5.006765899864685,23681540,18484937.5,91.9402985074627,95.2681388012618,0.6780548906919446,0.4515048141681704,0.2265500765237741,12.730559540351914,12.02090528622831,13.2805,15.001717133615804,11.559282866384196,0.2592096884327855,0.3621428571428571,230034870.0,12.955500875871444,994.19,0.590707278696762,1.1239331390502303
2020-11-24,15.6,15.94,15.03,15.52,0.0,48936510,19667686.0,92.49249249249254,87.79069767441861,0.7538446242936345,0.5119727761932633,0.2418718481003712,12.8399493622989,12.055722149051908,13.4065,15.390194320679148,11.422805679320852,0.2959302309594819,0.4078571428571429,230034870.0,13.162231071392387,995.76,0.6202771080904285,1.194381978502261
2020-11-25,15.23,15.27,14.57,14.74,-5.0257731958762815,55697460,21169400.0,78.17258883248735,65.11627906976746,0.7424110010551441,0.5580604211656395,0.1843505798895046,12.914461152012668,12.082431381399651,13.514500000000002,15.543411816194755,11.485588183805246,0.3002570300336313,0.4607142857142857,174337410.0,13.306108904921023,999.94,0.3296833189767119,0.9920392167931033
2020-11-26,14.53,14.65,14.2,14.53,-1.424694708276808,33163400,21788628.0,73.83863080684597,56.34674922600617,0.7082403731497173,0.5880964115624551,0.1201439615872622,12.977815616639624,12.10678529800264,13.607499999999998,15.6439248858697,11.571075114130297,0.2993091877082055,0.4842857142857142,141174010.0,13.36153632535174,1005.97,0.3140881447529195,0.9908556179833516
2020-11-27,14.49,15.07,14.49,15.0,3.2346868547832086,16027210,21638029.0,73.90243902439028,69.18032786885246,0.7108902758090014,0.6126551844117644,0.098235091397237,13.057116965006696,12.135573503992664,13.725,15.799633766031452,11.650366233968548,0.3023145742850932,0.4928571428571429,157201220.0,13.395381891516532,1010.22,0.3126128304543802,1.0160553518940616
2020-11-30,15.03,15.07,14.69,14.69,-2.066666666666672,17459270,21991728.0,69.97690531177827,59.01639344262294,0.680135751957339,0.6261512979208793,0.0539844540364596,13.121151593829962,12.160990683057411,13.826,15.88096471989179,11.771035280108208,0.2972609170970332,0.4935714285714287,139741950.0,13.429661687263682,1003.08,0.393157149765993,1.2625339621036529
2020-12-01,14.45,14.74,14.3,14.74,0.3403675970047759,21802760,22205815.0,70.31963470319633,60.132890365448525,0.6522780964956976,0.6313766576358429,0.0209014388598546,13.184635845052318,12.1866524673056,13.9275,15.950659332383506,11.904340667616497,0.2905272780303005,0.5114285714285716,161544710.0,13.463685698416544,1008.87,0.387789638746143,1.2447022394340428
2020-12-02,14.74,14.76,14.53,14.61,-0.8819538670284954,14643640,22023327.0,67.86516853932582,54.45205479452054,0.6126485590656845,0.6276310379218113,-0.0149824788561268,13.240532478579675,12.210765378078678,14.023500000000002,15.98054691603929,12.066453083960717,0.2791096254200858,0.5200000000000002,146901070.0,13.48621261509432,1014.32,0.378610361048961,1.2247432974503525
2020-12-03,14.69,15.25,14.61,15.25,4.380561259411375,22511210,22568972.0,70.7566462167689,74.8175182481752,0.6256721572721915,0.6272392617918874,-0.0015671045196958,13.319335126478514,12.241006518595308,14.160000000000002,16.055357208382727,12.26464279161728,0.2677058203930401,0.5514285714285716,169412280.0,13.530797110402164,1019.8,0.3464184659440885,1.179542699169794
2020-12-04,15.34,15.42,15.19,15.29,0.2622950819672009,17767110,22786802.5,70.20833333333331,74.3083003952569,0.6319365472371512,0.6281787188809402,0.0037578283562109,13.396616101910729,12.271344762191374,14.2955,16.10058608921392,12.490413910786078,0.2525390632316353,0.5421428571428573,187179390.0,13.570059265240634,1021.49,0.3471462148791949,1.1875442239823364
2020-12-07,15.34,15.89,15.25,15.81,3.4009156311314737,24400300,23091099.5,70.6365503080082,93.92523364485984,0.6711244704605566,0.6367678691968636,0.034356601263693,13.49125860771815,12.306555262070066,14.434,16.25844685200457,12.60955314799543,0.2527985107391673,0.5557142857142858,211579690.0,13.631575174188908,1029.98,0.3108746555621836,1.110950772989448
2020-12-08,15.81,16.06,15.73,15.89,0.5060088551549713,20333880,23075535.5,67.72009029345372,90.86021505376354,0.70056088357906,0.6495264720733028,0.0510344115057571,13.585326897611557,12.342211428616634,14.5805,16.37692305414777,12.784076945852233,0.2464144650934835,0.5421428571428571,231913570.0,13.685979511918832,1029.26,0.2999335151649664,1.0572813395348557
2020-12-09,15.94,15.98,15.77,15.94,0.3146633102580232,15264400,23110541.0,66.19385342789596,93.54838709677423,0.7196286045855338,0.663546898575749,0.0560817060097847,13.677667019273848,12.378010319874182,14.729500000000002,16.452844056432728,13.006155943567274,0.2339989892980382,0.5264285714285715,247177970.0,13.7251899789707,1039.13,0.2727112583613135,0.9510758212562376
2020-12-10,15.94,15.98,15.4,15.56,-2.383939774153065,30402770,24140493.0,58.86363636363638,73.11827956989256,0.6960534161480343,0.6700482020902061,0.0260052140578281,13.751483998910167,12.409671908731156,14.8565,16.4159773078452,13.297022692154805,0.2099387214815331,0.5457142857142859,216775200.0,13.790754014361797,1030.91,0.3614632036437593,1.2366826105207829
2020-12-11,15.73,16.06,15.6,16.06,3.2133676092544805,16641080,24364465.5,56.490384615384606,100.0,0.7095366341397611,0.6779458885001172,0.0315907456396439,13.842014038168593,12.445993581281094,14.998499999999998,16.443553632222653,13.553446367777344,0.1926930869383811,0.5114285714285715,233416280.0,13.829547633346165,1045.96,0.3965884234017372,1.3185094666274684
2020-12-14,16.29,16.35,16.12,16.25,1.1830635118306398,14483540,23811717.5,58.39080459770116,95.34883720930226,0.7271712165077524,0.6877909541016443,0.0393802624061081,13.936444860201195,12.4838443914176,15.143499999999998,16.46912239602459,13.817877603975404,0.1750747708290149,0.4671428571428573,247899820.0,13.867407486993274,1064.09,0.4605642682426162,1.7615012615270975
2020-12-15,16.18,16.2,15.94,15.98,-1.6615384615384587,19581910,23979368.0,66.14583333333333,82.79069767441858,0.7111621717361469,0.6924651976285449,0.018696974107602,14.01658427744821,12.518632009413446,15.2525,16.466815921782555,14.03818407821745,0.159228444095401,0.4214285714285717,228317910.0,13.912584042670074,1055.27,0.4628756267586282,1.7957122248422823
2020-12-16,16.06,16.29,15.94,16.06,0.5006257822277815,17322370,23739726.5,70.6199460916442,85.85365853658524,0.6968968270092635,0.6933515235046886,0.0035453035045748,14.096718227352202,12.553869501857092,15.3395,16.52140702279248,14.15759297720752,0.1540998106577762,0.407857142857143,245640280.0,13.952033418232906,1066.99,0.4621784059652929,1.6814093125719316
2020-12-17,15.89,16.0,15.58,15.58,-2.98879202988791,30645570,23945348.5,57.79569892473119,62.43902439024384,0.6394878323997766,0.6825787852837063,-0.0430909528839297,14.154886140005058,12.583980253082396,15.389999999999995,16.518576187293608,14.261423812706386,0.1466635720979351,0.4007142857142858,214994710.0,14.006778484051107,1051.77,0.5268313819576551,1.730605468085246
2020-12-18,15.77,16.04,15.69,15.98,2.5673940949935803,19956910,24036142.0,66.92913385826775,81.95121951219508,0.6191304966527458,0.6698891275575143,-0.0507586309047685,14.22645923255388,12.61777149434526,15.45,16.569586389793297,14.330413610206705,0.144930276995896,0.4064285714285714,234951620.0,14.04426642153805,1067.46,0.5467032660300004,1.7371223811324878
2020-12-21,16.14,16.16,15.87,15.96,-0.1251564455569398,15789770,23641553.5,66.13756613756615,78.57142857142857,0.5945299572879481,0.6548172935036011,-0.0602873362156529,14.29444122343412,12.651027499376651,15.472,16.614436915222463,14.329563084777536,0.1476779880070402,0.3957142857142858,219161850.0,14.074329824250157,1081.08,0.570289720112651,1.6070146623257449
2020-12-22,15.96,16.33,15.85,16.29,2.0676691729323293,26050910,22497273.5,71.10552763819098,96.5517241379309,0.5948055465914486,0.6428149441211706,-0.048009397529722,14.372698430358271,12.687236180974894,15.5105,16.710210052690304,14.310789947309694,0.1546965027162638,0.4135714285714285,245212760.0,14.125920592815286,1083.45,0.5511766592135522,1.5785331314404945
2020-12-23,16.33,17.05,16.31,16.56,1.6574585635359185,28097610,21117281.0,68.14404432132966,73.65591397849454,0.6097815148880201,0.6362082582745405,-0.0264267433865204,14.458474962501086,12.72577114434828,15.601499999999998,16.830864833862062,14.372135166137934,0.1575957227012869,0.4221428571428571,273310370.0,14.191353114413998,1078.9,0.5952394178904231,1.43987090414484
2020-12-24,16.8,16.89,15.98,16.54,-0.1207729468599039,18507480,20384485.0,67.40947075208916,71.66666666666659,0.6129703046943042,0.6315606675584933,-0.018590362864189,14.54010339534418,12.763723670275162,15.702000000000002,16.8904992748486,14.513500725151404,0.151381897191262,0.4707142857142857,254802890.0,14.22975808994426,1067.52,0.6163411919248433,1.3713242849260674
2020-12-25,16.56,16.91,16.35,16.87,1.9951632406287836,22667520,20716500.5,65.58823529411768,89.09090909090911,0.6348080140331938,0.6322101368534334,0.0025978771797603,14.63147188964441,12.8045821412177,15.7955,17.04417045081426,14.546829549185736,0.1581045805215741,0.4649999999999998,277470410.0,14.279921549084245,1084.42,0.647152229434765,1.33329623121354
2020-12-28,17.3,17.36,16.97,17.2,1.956135151155891,21024800,20894777.0,67.94520547945208,91.83673469387756,0.6710078374293804,0.6399696769686228,0.0310381604607575,14.732198482207371,12.84831764230011,15.921,17.205857559174664,14.636142440825338,0.1614041277777353,0.4764285714285713,298495210.0,14.333262396607552,1091.33,0.6174527472581353,1.2607395882035564
2020-12-29,17.07,17.32,16.99,17.22,0.1162790697674331,13443950,20476836.5,67.67955801104975,92.85714285714285,0.6933181510596746,0.6506393717868333,0.0426787792728413,14.829759326042378,12.8918169692424,16.044999999999998,17.32863792238673,14.761362077613269,0.1600047270036436,0.4849999999999999,311939160.0,14.36635260483139,1099.49,0.6104975395374757,1.2459039987523155
2020-12-30,17.22,17.22,16.87,16.93,-1.6840882694541204,21907500,20840029.5,69.40509915014167,75.84269662921349,0.6797627768263208,0.6564640527947309,0.0232987240315899,14.912121705413266,12.93199789492158,16.160999999999998,17.310972997394583,15.011027002605411,0.1423145841711015,0.4685714285714283,290031660.0,14.415491300758354,1097.54,0.6376882630399039,1.318555025318346
2020-12-31,16.93,17.28,16.85,17.16,1.3585351447135352,11867640,20307851.0,66.87116564417184,88.76404494382027,0.6797434633748178,0.6611199349107483,0.0186235284640695,15.000273795397062,12.974067567608929,16.2565,17.405161005372342,15.107838994627656,0.1413171353455348,0.4635714285714284,301899300.0,14.442252664497108,1103.87,0.6916706814370114,1.2944547938509805
